"","X","X30","X50","X60","X90","X160","C..all.","RL","RM","AlleyGrvl","Alleynan","IR1","IR2","Reg","Bnk","HLS","CulDSac","BrDale","BrkSide","Edwards","IDOTRR","MeadowV","NAmes","NoRidge","NridgHt","OldTown","Sawyer","Somerst","StoneBr","Timber","Condition1Artery","Condition1Feedr","Condition1Norm","X1Fam","Duplex","Gable","Hip","CompShg","WdShngl","Exterior2ndCmentBd","Exterior2ndMetalSd","Exterior2ndVinylSd","Exterior2ndWd.Sdng","BrkFace","None","Stone","FuseA","FuseF","SBrkr","Attchd","BuiltIn","Detchd","N","Y","WD","Abnorml","Normal","Partial","LotFrontage","LotArea","OverallQual","YearBuilt","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X2ndFlrSF","BsmtFullBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","ExterQual","BsmtQual","BsmtCond","BsmtExposure","HeatingQC","KitchenQual","GarageQual","PoolQC","BsmtFinType1","CentralAir","Functional","GarageFinish","Fence"
"11",10,0,0,0,0,0,0,0,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,26,8.67573421954479,7,1999,6.95844839329766,5.87211778947542,7.24850407237061,0,1,2,0.693147180559945,5,1,2,5.31811999384422,4.23410650459726,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"12",11,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,1,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,21,7.42714413340862,6,1971,5.05624580534831,5.79301360838414,6.18208490671663,6.22455842927536,0,2,0.693147180559945,5,0,1,5.62040086571715,0,0,0,1.38629436111989,1.38629436111989,1.38629436111989,2,3,3,1.38629436111989,0,3,0.693147180559945,2.19722457733622,1,0
"13",12,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,1,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,21,7.42714413340862,5,1971,5.70711026474888,5.42053499927229,6.26530121273771,6.34212141872115,0,3,0.693147180559945,6,0,1,0,0,0,0,1.38629436111989,1.38629436111989,1.38629436111989,2,3,3,1.38629436111989,0,3,0.693147180559945,2.19722457733622,1,0
"14",13,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,24,7.73236922228439,6,1975,6.24416690066374,5.8348107370626,6.75227037614174,6.40025744530882,0,3,0.693147180559945,6,1,2,5.15905529921453,0,0,0,1.38629436111989,1.38629436111989,1.38629436111989,2,3,4,1.38629436111989,0,5,0.693147180559945,2.19722457733622,1,0
"15",14,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,24,7.73236922228439,7,1975,0,6.72982407048948,6.72982407048948,0,0,2,0.693147180559945,4,0,1,0,3.43398720448515,0,0,1.38629436111989,1.6094379124341,1.38629436111989,2,5,3,1.38629436111989,0,1,0.693147180559945,2.19722457733622,1,0
"16",15,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0,0,0,0.693147180559945,102,9.46179923427044,9,2009,0,7.37211802833779,7.37211802833779,6.56244409369372,0,3,0.693147180559945,10,1,3,4.97673374242057,4.89783979995091,0,0,1.79175946922805,1.79175946922805,1.38629436111989,2,5,5,1.38629436111989,0,1,0.693147180559945,2.19722457733622,3,0
"17",16,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0,0,0,0.693147180559945,94,9.46374151045109,8,2009,0,7.34277918933185,7.34277918933185,0,0,3,0.693147180559945,7,0,3,0,3.58351893845611,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,2,0
"18",17,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,90,9.35192673603805,9,2005,4.70953020131233,7.37086016653672,7.43779512167193,0,0,3,0.693147180559945,7,1,3,5.26269018890489,4.31748811353631,0,0,1.6094379124341,1.79175946922805,1.38629436111989,2,5,5,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"19",18,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,79,9.55555995306906,8,2005,3.36729582998647,7.49276030092238,7.50823877467866,0,0,3,0.693147180559945,8,1,3,0,4.78749174278205,0,0,1.6094379124341,1.79175946922805,1.38629436111989,2,5,5,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"20",19,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,110,9.56808474387294,9,2003,7.22548147278229,7.29573507274928,7.95402108727804,0,1,3,0.693147180559945,10,2,3,5.39816270151775,5.01727983681492,0,0,1.79175946922805,1.79175946922805,1.38629436111989,4,5,5,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"21",20,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,105,9.52156805800298,8,2002,6.361302477573,6.99759598298193,7.42177579364465,6.33505425149806,1,3,0.693147180559945,7,1,3,5.47646355193151,4.87519732320115,0,0,1.6094379124341,1.6094379124341,1.38629436111989,4,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"22",21,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,41,8.87248718227804,8,2006,3.2188758248682,7.20563517641036,7.22329567956231,0,0,2,0.693147180559945,6,1,2,4.79579054559674,3.91202300542815,0,0,1.6094379124341,1.6094379124341,1.38629436111989,3,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"23",22,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,100,9.82525570426655,6,2005,0,7.18916773842032,7.18916773842032,0,0,3,0.693147180559945,6,0,2,3.61091791264422,3.17805383034795,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,3,0
"24",23,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,43,8.07215530818825,7,2006,2.83321334405622,7.02997291170639,7.04403289727469,0,0,2,0.693147180559945,6,0,2,4.61512051684126,4.76217393479776,0,0,1.6094379124341,1.6094379124341,1.38629436111989,3,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"25",24,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,67,9.4955944993533,7,2004,5.78996017089725,4.07753744390572,5.95324333428778,6.44730586254121,1,3,0.693147180559945,7,1,2,4.61512051684126,0,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"26",25,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,63,9.05695606507683,7,2004,0,6.7428806357919,6.7428806357919,6.78784498230958,0,3,0.693147180559945,7,1,2,4.97673374242057,3.89182029811063,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,3,0
"27",26,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,60,9.76617760157152,8,1998,0,7.39633529380081,7.39633529380081,6.72262979485545,0,4,0.693147180559945,7,1,3,3.17805383034795,5.15329159449778,0,5.54907608489522,1.6094379124341,1.79175946922805,1.38629436111989,2,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,3,0
"28",27,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,73,9.10364563330522,8,2005,0,7.37525577800975,7.37525577800975,0,0,2,0.693147180559945,6,1,3,4.97673374242057,0,0,0,1.6094379124341,1.6094379124341,1.38629436111989,0,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,2,0
"29",28,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0,0,0,0.693147180559945,92,9.12869638293567,7,2009,0,7.10578612948127,7.10578612948127,0,0,2,0.693147180559945,4,0,2,0,4.91998092582813,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,2,0
"30",29,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,84,9.25349564229011,6,2005,7.25488481007734,4.00733318523247,7.29233717617388,0,1,2,0.693147180559945,6,1,2,0,4.63472898822964,0,5.37989735354046,1.6094379124341,1.79175946922805,1.38629436111989,2,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"31",30,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,70,9.386056829718,7,2004,0,6.72383244082121,6.72383244082121,6.7202201551353,0,3,0.693147180559945,8,0,2,4.97673374242057,4.23410650459726,0,0,1.6094379124341,1.6094379124341,1.38629436111989,3,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,2,0
"32",31,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0.693147180559945,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,70,9.19023970026918,5,1920,0,6.70563909486,6.70563909486,0,0,2,0.693147180559945,5,0,1,4.80402104473326,0,4.39444915467244,0,1.38629436111989,1.38629436111989,1.38629436111989,2,3,3,1.38629436111989,0,1,0,2.19722457733622,1,0
"33",32,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0,0,39,9.64283681913538,6,1974,4.84418708645859,5.41164605185504,7.09754885061479,0,1,3,0.693147180559945,7,2,2,5.6937321388027,0,5.23110861685459,0,1.38629436111989,1.38629436111989,1.38629436111989,4,5,3,1.38629436111989,0,4,0.693147180559945,2.19722457733622,3,1.6094379124341
"34",33,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,85,9.4837206597171,8,1993,5.52545293913178,0,7.11639414409346,7.00215595440362,1,4,0.693147180559945,9,1,3,3.49650756146648,4.87519732320115,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,2,0.693147180559945,2.19722457733622,2,0
"35",34,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,88,9.31784857969147,8,1992,7.02997291170639,5.5683445037611,7.23777819192344,6.71417052990947,1,4,0.693147180559945,7,1,3,5.29330482472449,3.43398720448515,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"36",35,0,0,0,0,0,0,0,0,0,0.693147180559945,1,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,25,8.48384321173468,7,2004,7.1693500166706,5.25227342804663,7.30586003268401,0,1,2,0.693147180559945,6,1,2,5.12989871492307,3.93182563272433,0,0,1.6094379124341,1.79175946922805,1.38629436111989,3,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"37",36,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,39,8.16507925880507,7,2004,0,6.73459165997295,6.73459165997295,6.73459165997295,0,2,0.693147180559945,3,0,2,0,4.71849887129509,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,1,0.693147180559945,2.19722457733622,2,0
"38",37,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,30,8.07589363029886,7,2004,5.63835466933375,5.77144112313002,6.39859493453521,6.39859493453521,0,2,0.693147180559945,4,0,2,0,5.15329159449778,0,0,1.6094379124341,1.6094379124341,1.38629436111989,3,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
"39",38,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0,0,1,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,24,7.84188592898462,7,2004,5.91079664404053,5.25227342804663,6.39859493453521,6.39859493453521,1,2,0.693147180559945,4,0,2,0,5.15329159449778,0,0,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,2,0
